external_evaluate_run_id,train_run_id,created_at,model_version,model_file,model_epoch,total_images,labeled_images,accuracy,correct,errors,class_accuracy,external_labels_file,external_report_file,external_confusion_matrix_file,evaluate_run_id,dataset_file,dataset_size,num_classes,classes,evaluation_report_file,confusion_matrix_file
,train_20260526_092834_a7911d86,2026-05-26 09:33:13,AstroMindCNNV1,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,28,,,0.923077,12,1,aglomerado=1.000000(4/4); estrela=1.000000(3/3); galaxia=0.666667(2/3); nebulosa=1.000000(3/3),,,,evaluate_20260526_093313_ffed3e97,C:\Workspace\Python\AstroMind\AstroMind\data\labels\test_labels.csv,13,4,aglomerado|estrela|galaxia|nebulosa,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\confusion_matrix.csv
,train_20260526_100239_364d4d4b,2026-05-26 10:04:17,AstroMindCNNV1,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,28,,,0.923077,12,1,aglomerado=1.000000(4/4); estrela=1.000000(3/3); galaxia=0.666667(2/3); nebulosa=1.000000(3/3),,,,evaluate_20260526_100417_eb9470af,C:\Workspace\Python\AstroMind\AstroMind\data\labels\test_labels.csv,13,4,aglomerado|estrela|galaxia|nebulosa,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\confusion_matrix.csv
,train_20260526_102743_194ad6ed,2026-05-26 11:52:19,AstroMindCNNV2,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,20,,,0.846154,11,2,aglomerado=1.000000(4/4); estrela=0.666667(2/3); galaxia=1.000000(3/3); nebulosa=0.666667(2/3),,,,evaluate_20260526_115218_049a5553,C:\Workspace\Python\AstroMind\AstroMind\data\labels\test_labels.csv,13,4,aglomerado|estrela|galaxia|nebulosa,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\confusion_matrix.csv
,train_20260526_150026_e7870f64,2026-05-26 15:32:20,AstroMindCNNV2.1,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,43,,,1.000000,13,0,aglomerado=1.000000(4/4); estrela=1.000000(3/3); galaxia=1.000000(3/3); nebulosa=1.000000(3/3),,,,evaluate_20260526_153219_467bae83,C:\Workspace\Python\AstroMind\AstroMind\data\labels\test_labels.csv,13,4,aglomerado|estrela|galaxia|nebulosa,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\confusion_matrix.csv
,train_20260527_085121_448e3459,2026-05-27 11:37:25,AstroMindCNNV2.2,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,41,,,0.769231,20,6,aglomerado=1.000000(5/5); estrela=0.600000(3/5); galaxia=1.000000(7/7); nebulosa=0.555556(5/9),,,,evaluate_20260527_113723_2d14081f,C:\Workspace\Python\AstroMind\AstroMind\data\labels\test_labels.csv,26,4,aglomerado|estrela|galaxia|nebulosa,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\confusion_matrix.csv
,train_20260527_155905_0612b48a,2026-05-27 16:17:31,AstroMindCNNV2.3,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,11,,,0.653846,17,9,aglomerado=1.000000(5/5); estrela=1.000000(5/5); galaxia=1.000000(7/7); nebulosa=0.000000(0/9),,,,evaluate_20260527_161729_af0382e7,C:\Workspace\Python\AstroMind\AstroMind\data\labels\test_labels.csv,26,4,aglomerado|estrela|galaxia|nebulosa,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\confusion_matrix.csv
,train_20260527_163858_a7c772fa,2026-05-27 17:01:44,AstroMindCNNV2.4,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,43,,,0.807692,21,5,aglomerado=1.000000(5/5); estrela=0.600000(3/5); galaxia=1.000000(7/7); nebulosa=0.666667(6/9),,,,evaluate_20260527_170141_e51050bb,C:\Workspace\Python\AstroMind\AstroMind\data\labels\test_labels.csv,26,4,aglomerado|estrela|galaxia|nebulosa,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\confusion_matrix.csv
