predict_run_id,train_run_id,created_at,model_version,model_file,model_epoch,image_path,true_class,predicted_class,confidence,is_correct,probabilities
predict_20260526_093440_0237fa47,train_20260526_092834_a7911d86,2026-05-26 09:34:41,,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,28,C:\Workspace\Python\AstroMind\AstroMind\data\processed\images\aglomerado_M13_j95430c2q_flc.png,aglomerado,aglomerado,0.928663,True,aglomerado=0.928663; estrela=0.005487; galaxia=0.005665; nebulosa=0.060185
predict_20260526_100510_956a2cc3,train_20260526_100239_364d4d4b,2026-05-26 10:05:10,,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,28,C:\Workspace\Python\AstroMind\AstroMind\data\processed\images\aglomerado_M13_j95430c2q_flc.png,aglomerado,aglomerado,0.928663,True,aglomerado=0.928663; estrela=0.005487; galaxia=0.005665; nebulosa=0.060185
predict_20260526_115607_874d9dc6,train_20260526_102743_194ad6ed,2026-05-26 11:56:08,,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,20,C:\Workspace\Python\AstroMind\AstroMind\data\processed\images\aglomerado_M13_j95430c2q_flc.png,aglomerado,galaxia,0.566189,False,aglomerado=0.301297; estrela=0.044827; galaxia=0.566189; nebulosa=0.087686
predict_20260526_153425_ca65e711,train_20260526_150026_e7870f64,2026-05-26 15:34:25,,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,43,C:\Workspace\Python\AstroMind\AstroMind\data\processed\images\aglomerado_M13_j95430c2q_flc.png,aglomerado,aglomerado,0.940367,True,aglomerado=0.940367; estrela=0.012565; galaxia=0.025952; nebulosa=0.021116
predict_20260527_115310_63a04a7e,train_20260527_085121_448e3459,2026-05-27 11:53:11,,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,41,C:\Workspace\Python\AstroMind\AstroMind\data\processed\images\aglomerado_M13_j95430c2q_flc.png,aglomerado,aglomerado,0.927220,True,aglomerado=0.927220; estrela=0.002312; galaxia=0.005625; nebulosa=0.064842
